"","BR-A-Control_counts.txt","BR-A-Mutant_counts.txt","BR-B-Control_counts.txt","BR-B-Mutant_counts.txt","BR-C-Control_counts.txt","BR-C-Mutant_counts.txt"
"ENSMUSG00000085133",669,722,846,749,710,678
"ENSMUSG00000085134",89,93,95,85,86,90
"ENSMUSG00000085135",14,19,15,14,16,21
"ENSMUSG00000085137",19,18,14,20,14,23
"ENSMUSG00000085138",0,0,1,1,0,0
"ENSMUSG00000085139",310,150,394,170,269,132
"ENSMUSG00000085140",4,3,6,2,3,3
"ENSMUSG00000085141",3,5,2,5,1,5
"ENSMUSG00000085142",0,0,0,0,0,0
"ENSMUSG00000085143",4,1,1,6,2,0
"ENSMUSG00000085144",12,1,4,9,10,12
"ENSMUSG00000085145",13,34,20,21,22,12
"ENSMUSG00000085146",0,0,0,0,2,0
"ENSMUSG00000085147",0,0,0,0,0,0
"ENSMUSG00000085148",38,25,32,36,23,38
"ENSMUSG00000085149",1,3,2,2,2,2
"ENSMUSG00000085150",2,1,2,0,1,5
"ENSMUSG00000085151",4,2,1,0,1,0
"ENSMUSG00000085152",1,0,0,0,0,0
"ENSMUSG00000085153",5,2,2,6,1,1
"ENSMUSG00000085154",2,1,5,5,4,8
"ENSMUSG00000085155",0,0,0,0,0,0
"ENSMUSG00000085156",22,31,22,28,21,22
"ENSMUSG00000085157",0,0,0,0,0,0
"ENSMUSG00000085158",0,2,0,2,1,0
"ENSMUSG00000085159",0,0,0,0,0,1
"ENSMUSG00000085160",39,37,35,55,39,42
"ENSMUSG00000085161",26,9,14,15,20,14
"ENSMUSG00000085162",0,0,0,0,0,0
"ENSMUSG00000085163",23,20,19,19,22,20
"ENSMUSG00000085164",6,2,7,1,3,0
"ENSMUSG00000085165",4,2,3,2,3,5
"ENSMUSG00000085166",4,3,2,0,2,1
"ENSMUSG00000085167",1,5,0,5,7,5
"ENSMUSG00000085168",6,9,1,6,5,3
"ENSMUSG00000085169",24,30,32,29,31,38
"ENSMUSG00000085170",4,4,3,9,5,4
"ENSMUSG00000085171",0,0,0,0,0,0
"ENSMUSG00000085172",146,168,147,175,180,159
"ENSMUSG00000085173",0,0,0,0,1,0
"ENSMUSG00000085174",8,6,4,14,5,8
"ENSMUSG00000085175",9,9,5,12,11,3
"ENSMUSG00000085176",26,24,28,15,20,19
"ENSMUSG00000085177",0,0,0,0,0,1
"ENSMUSG00000085178",53,31,28,39,40,30
"ENSMUSG00000085179",2,4,2,5,3,1
"ENSMUSG00000085180",0,0,1,0,0,0
"ENSMUSG00000085181",15,10,17,22,14,18
"ENSMUSG00000085182",0,0,1,0,0,0
"ENSMUSG00000085183",0,0,1,0,0,0
"ENSMUSG00000085184",2,10,7,2,2,5
"ENSMUSG00000085185",5,0,3,2,3,2
"ENSMUSG00000085186",114,122,101,82,88,140
"ENSMUSG00000085187",0,0,0,1,0,0
"ENSMUSG00000085188",0,0,0,0,0,0
"ENSMUSG00000085189",8,1,1,1,2,3
"ENSMUSG00000085190",1,0,4,1,2,2
"ENSMUSG00000085191",31,43,35,34,15,34
"ENSMUSG00000085192",21,10,18,11,10,15
"ENSMUSG00000085193",0,0,0,0,0,0
"ENSMUSG00000085194",1,0,0,0,0,0
"ENSMUSG00000085195",20,15,18,17,24,17
"ENSMUSG00000085196",0,1,2,4,1,0
"ENSMUSG00000085197",19,16,24,24,6,14
"ENSMUSG00000085198",0,0,1,0,0,0
"ENSMUSG00000085199",0,1,1,5,8,0
"ENSMUSG00000085200",1,0,0,0,2,1
"ENSMUSG00000085201",68,64,52,73,47,58
"ENSMUSG00000085202",0,0,0,0,0,0
"ENSMUSG00000085203",1,0,0,1,0,1
"ENSMUSG00000085204",4,3,5,3,2,4
"ENSMUSG00000085205",14,16,10,10,22,21
"ENSMUSG00000085206",12,9,10,8,7,8
"ENSMUSG00000085207",1,1,0,2,2,1
"ENSMUSG00000085208",297,329,279,334,306,301
"ENSMUSG00000085209",0,0,0,0,0,0
"ENSMUSG00000085210",21,14,20,16,13,19
"ENSMUSG00000085211",0,1,0,1,0,0
"ENSMUSG00000085212",1,0,1,0,0,0
"ENSMUSG00000085213",30,12,15,10,11,17
"ENSMUSG00000085214",2,7,10,5,3,8
"ENSMUSG00000085217",0,0,0,0,0,0
"ENSMUSG00000085218",26,56,27,41,47,28
"ENSMUSG00000085219",44,29,23,35,29,29
"ENSMUSG00000085220",0,0,0,0,0,0
"ENSMUSG00000085221",0,0,0,0,0,0
"ENSMUSG00000085222",1,0,0,3,0,0
"ENSMUSG00000085223",1,0,1,2,3,2
"ENSMUSG00000085224",2,0,3,1,1,0
"ENSMUSG00000085225",0,0,0,0,0,0
"ENSMUSG00000085226",0,0,0,0,0,0
"ENSMUSG00000085227",27,33,22,22,23,20
"ENSMUSG00000085228",1,4,3,3,4,1
"ENSMUSG00000085229",7,6,5,5,9,10
"ENSMUSG00000085230",0,0,0,0,0,0
"ENSMUSG00000085232",3,0,0,0,0,0
"ENSMUSG00000085233",2,6,2,6,3,0
"ENSMUSG00000085234",7,5,6,7,8,16
"ENSMUSG00000085235",0,0,0,0,0,0
"ENSMUSG00000085236",5,1,1,1,3,4
"ENSMUSG00000085237",0,0,0,0,0,0
"ENSMUSG00000085238",0,1,0,0,0,1
"ENSMUSG00000085239",1,0,3,1,1,1
"ENSMUSG00000085240",32,31,42,33,22,25
"ENSMUSG00000085241",0,0,1,1,2,0
"ENSMUSG00000085242",0,0,0,0,1,1
"ENSMUSG00000085243",57,43,52,56,38,55
"ENSMUSG00000085244",0,0,0,0,0,0
"ENSMUSG00000085245",11,4,9,10,14,10
"ENSMUSG00000085246",106,102,108,101,95,98
"ENSMUSG00000085247",46,42,63,31,34,65
"ENSMUSG00000085248",0,0,0,0,0,0
"ENSMUSG00000085249",2,2,1,0,0,1
"ENSMUSG00000085250",0,0,1,2,1,1
"ENSMUSG00000085251",0,0,0,0,0,0
"ENSMUSG00000085252",0,0,1,0,0,0
"ENSMUSG00000085253",0,0,0,0,0,0
"ENSMUSG00000085254",61,63,77,35,65,61
"ENSMUSG00000085255",3,2,2,5,3,2
"ENSMUSG00000085256",0,0,2,0,1,0
"ENSMUSG00000085257",0,0,0,0,2,0
"ENSMUSG00000085259",1,1,0,4,5,1
"ENSMUSG00000085260",8,1,5,7,5,5
"ENSMUSG00000085261",11,20,13,25,6,31
"ENSMUSG00000085262",1,3,2,0,2,8
"ENSMUSG00000085263",9,2,0,5,2,2
"ENSMUSG00000085264",0,0,0,0,0,0
"ENSMUSG00000085265",29,21,19,20,10,18
"ENSMUSG00000085266",5,9,4,7,4,7
"ENSMUSG00000085267",0,0,1,0,0,0
"ENSMUSG00000085268",0,0,0,0,0,0
"ENSMUSG00000085269",74,43,36,54,38,61
"ENSMUSG00000085270",7,5,2,5,2,5
"ENSMUSG00000085271",36,29,29,69,58,42
"ENSMUSG00000085272",13,12,27,6,14,22
"ENSMUSG00000085273",1,0,0,0,0,0
"ENSMUSG00000085274",56,64,46,41,42,61
"ENSMUSG00000085275",0,0,0,0,0,0
"ENSMUSG00000085276",17,15,24,17,7,12
"ENSMUSG00000085277",1,0,0,0,0,0
"ENSMUSG00000085278",0,0,0,0,2,3
"ENSMUSG00000085279",54,52,57,63,64,54
"ENSMUSG00000085280",38,28,22,13,36,23
"ENSMUSG00000085281",0,0,0,0,0,0
"ENSMUSG00000085282",447,457,380,499,454,462
"ENSMUSG00000085283",6,10,9,2,7,6
"ENSMUSG00000085284",6,6,4,7,8,8
"ENSMUSG00000085285",0,2,0,0,0,0
"ENSMUSG00000085286",9,14,7,14,14,14
"ENSMUSG00000085287",34,44,26,55,27,50
"ENSMUSG00000085288",0,0,0,0,0,0
"ENSMUSG00000085289",4,2,4,1,0,1
"ENSMUSG00000085290",2,4,3,5,6,4
"ENSMUSG00000085291",2,0,0,1,0,1
"ENSMUSG00000085292",2,0,3,1,3,0
"ENSMUSG00000085293",0,1,1,0,0,0
"ENSMUSG00000085294",4,2,5,6,6,10
"ENSMUSG00000085295",0,0,0,0,0,0
"ENSMUSG00000085296",0,0,0,0,0,0
"ENSMUSG00000085297",0,0,1,1,2,0
"ENSMUSG00000085298",1,0,1,1,1,3
"ENSMUSG00000085299",0,1,1,0,0,1
"ENSMUSG00000085300",0,0,0,0,0,0
"ENSMUSG00000085301",0,3,0,0,0,0
"ENSMUSG00000085302",1,0,0,0,0,0
"ENSMUSG00000085303",6,9,2,9,4,5
"ENSMUSG00000085304",0,1,2,0,2,0
"ENSMUSG00000085305",0,0,0,0,0,0
"ENSMUSG00000085306",15,11,5,10,13,10
"ENSMUSG00000085307",2,3,0,1,1,2
"ENSMUSG00000085308",0,0,0,0,0,2
"ENSMUSG00000085309",0,0,0,1,0,0
"ENSMUSG00000085310",3,4,4,3,2,6
"ENSMUSG00000085311",20,24,21,25,22,23
"ENSMUSG00000085312",0,0,1,0,0,0
"ENSMUSG00000085313",0,0,0,0,0,0
"ENSMUSG00000085314",0,0,0,0,0,0
"ENSMUSG00000085315",4,6,2,4,4,4
"ENSMUSG00000085316",5,8,4,8,6,3
"ENSMUSG00000085317",2,0,2,0,2,1
"ENSMUSG00000085318",1,1,1,1,1,3
"ENSMUSG00000085319",3,2,0,0,2,3
"ENSMUSG00000085320",1,0,0,0,0,0
"ENSMUSG00000085321",0,0,1,0,0,0
"ENSMUSG00000085322",0,0,0,0,0,1
"ENSMUSG00000085323",0,0,1,0,0,0
"ENSMUSG00000085324",1,0,0,0,0,0
"ENSMUSG00000085325",0,0,0,0,0,0
"ENSMUSG00000085326",0,0,0,0,0,0
"ENSMUSG00000085327",0,0,0,0,1,0
"ENSMUSG00000085328",0,0,0,0,0,0
"ENSMUSG00000085329",0,0,0,0,0,0
"ENSMUSG00000085330",0,0,1,0,2,0
"ENSMUSG00000085331",0,0,0,0,1,0
"ENSMUSG00000085333",0,0,0,0,0,0
"ENSMUSG00000085334",359,373,373,358,401,392
"ENSMUSG00000085335",6,1,8,4,0,2
"ENSMUSG00000085336",3,2,1,4,0,7
"ENSMUSG00000085337",2,1,3,3,4,4
"ENSMUSG00000085338",8,8,14,8,4,10
"ENSMUSG00000085339",15,16,18,13,11,16
"ENSMUSG00000085340",0,0,0,0,0,0
"ENSMUSG00000085341",70,81,89,93,75,82
"ENSMUSG00000085342",0,0,0,2,0,1
"ENSMUSG00000085343",11,9,12,5,17,6
"ENSMUSG00000085345",0,0,0,0,0,0
"ENSMUSG00000085346",0,0,0,0,0,0
"ENSMUSG00000085347",2,4,1,3,4,8
"ENSMUSG00000085348",0,0,0,0,0,0
"ENSMUSG00000085349",1,0,2,2,0,2
"ENSMUSG00000085350",2,0,1,0,0,0
"ENSMUSG00000085351",0,1,2,3,4,0
"ENSMUSG00000085352",0,0,1,1,1,0
"ENSMUSG00000085353",0,0,0,0,0,0
"ENSMUSG00000085354",0,0,0,0,0,0
"ENSMUSG00000085355",8,6,13,14,7,19
"ENSMUSG00000085357",3,6,4,4,6,4
"ENSMUSG00000085358",0,0,0,0,0,0
"ENSMUSG00000085359",0,0,0,0,0,0
"ENSMUSG00000085360",0,0,0,1,0,0
"ENSMUSG00000085361",13,9,8,17,9,15
"ENSMUSG00000085362",18,10,9,10,15,6
"ENSMUSG00000085363",81,101,67,82,57,78
"ENSMUSG00000085364",59,30,26,42,57,31
"ENSMUSG00000085366",0,0,0,0,0,0
"ENSMUSG00000085367",0,0,0,0,0,0
"ENSMUSG00000085368",1,0,0,1,0,0
"ENSMUSG00000085369",0,0,0,0,1,0
"ENSMUSG00000085370",3,5,5,5,0,4
"ENSMUSG00000085371",0,0,0,0,0,0
"ENSMUSG00000085372",0,0,0,0,1,0
"ENSMUSG00000085373",10,13,18,14,13,16
"ENSMUSG00000085375",0,2,0,1,0,0
"ENSMUSG00000085376",29,20,11,19,26,16
"ENSMUSG00000085377",1,0,4,1,1,3
"ENSMUSG00000085378",1,0,0,0,0,0
"ENSMUSG00000085379",113,133,103,128,101,149
"ENSMUSG00000085380",0,0,0,0,2,1
"ENSMUSG00000085382",0,0,0,0,0,0
"ENSMUSG00000085383",23,16,9,12,17,12
"ENSMUSG00000085385",219,214,218,217,249,203
"ENSMUSG00000085386",14,8,11,12,3,12
"ENSMUSG00000085387",0,0,0,0,0,0
"ENSMUSG00000085388",0,0,0,0,0,0
"ENSMUSG00000085389",2,2,3,3,1,0
"ENSMUSG00000085390",0,1,0,0,1,0
"ENSMUSG00000085391",20,30,24,26,23,42
"ENSMUSG00000085392",19,10,5,10,14,22
"ENSMUSG00000085393",0,0,0,0,0,0
"ENSMUSG00000085394",0,0,0,0,0,0
"ENSMUSG00000085395",0,0,0,0,0,0
"ENSMUSG00000085396",53,82,59,45,60,86
"ENSMUSG00000085397",12,4,3,14,7,13
"ENSMUSG00000085398",0,1,3,0,1,1
"ENSMUSG00000085399",0,0,0,0,0,0
"ENSMUSG00000085400",3,5,8,2,7,3
"ENSMUSG00000085401",2,1,0,1,0,0
"ENSMUSG00000085402",0,0,0,0,0,0
"ENSMUSG00000085403",7,3,8,4,2,7
"ENSMUSG00000085404",0,0,0,0,0,0
"ENSMUSG00000085405",0,2,0,0,0,0
"ENSMUSG00000085407",21,20,22,26,24,23
"ENSMUSG00000085408",87,103,74,120,74,80
"ENSMUSG00000085409",0,0,0,0,1,0
"ENSMUSG00000085410",4,2,2,2,2,1
"ENSMUSG00000085411",0,0,0,0,0,0
"ENSMUSG00000085412",7,1,2,2,2,2
"ENSMUSG00000085413",0,0,0,0,0,0
"ENSMUSG00000085414",0,0,1,0,0,0
"ENSMUSG00000085415",10,6,8,7,2,4
"ENSMUSG00000085416",0,0,0,0,0,0
"ENSMUSG00000085417",22,23,26,18,19,21
"ENSMUSG00000085418",60,52,88,66,81,57
"ENSMUSG00000085419",2,0,1,2,0,1
"ENSMUSG00000085420",0,0,0,0,0,0
"ENSMUSG00000085421",3,8,1,2,3,1
"ENSMUSG00000085422",1,2,0,0,0,3
"ENSMUSG00000085423",15,5,2,10,6,9
"ENSMUSG00000085424",0,0,0,0,0,0
"ENSMUSG00000085425",0,0,0,0,0,0
"ENSMUSG00000085426",0,0,1,0,0,0
"ENSMUSG00000085427",1,3,4,13,11,3
"ENSMUSG00000085428",0,0,0,0,0,0
"ENSMUSG00000085429",0,0,1,1,0,1
"ENSMUSG00000085430",0,0,0,0,0,0
"ENSMUSG00000085431",5,1,3,2,2,2
"ENSMUSG00000085432",13,27,19,14,22,21
"ENSMUSG00000085433",24,28,24,21,27,31
"ENSMUSG00000085434",0,0,0,0,0,0
"ENSMUSG00000085435",30,17,27,8,8,16
"ENSMUSG00000085436",33,31,39,35,26,29
"ENSMUSG00000085437",24,20,28,27,24,17
"ENSMUSG00000085438",3786,3752,3572,3461,3462,3479
"ENSMUSG00000085439",3,2,3,3,3,2
"ENSMUSG00000085440",162,155,196,192,136,176
"ENSMUSG00000085441",0,0,0,0,0,0
"ENSMUSG00000085442",1,1,0,1,0,1
"ENSMUSG00000085443",0,4,4,2,0,1
"ENSMUSG00000085444",0,0,1,0,0,1
"ENSMUSG00000085445",0,1,7,0,0,2
"ENSMUSG00000085446",122,168,91,143,98,122
"ENSMUSG00000085447",5,2,10,2,4,3
"ENSMUSG00000085448",0,0,0,0,0,0
"ENSMUSG00000085449",62,87,84,72,64,70
"ENSMUSG00000085450",0,0,0,0,0,0
"ENSMUSG00000085451",0,0,0,0,0,0
"ENSMUSG00000085452",0,0,0,0,0,0
"ENSMUSG00000085453",1,0,0,0,0,0
"ENSMUSG00000085454",4,5,5,2,3,2
"ENSMUSG00000085455",2,0,1,0,1,1
"ENSMUSG00000085456",22,24,43,16,23,26
"ENSMUSG00000085457",0,0,1,0,1,1
"ENSMUSG00000085458",30,26,26,29,15,27
"ENSMUSG00000085459",5,4,2,0,1,4
"ENSMUSG00000085460",8,23,27,9,11,23
"ENSMUSG00000085461",2,1,4,1,2,4
"ENSMUSG00000085462",23,37,22,28,19,51
"ENSMUSG00000085463",2,5,2,2,1,2
"ENSMUSG00000085464",1,0,3,0,2,1
"ENSMUSG00000085465",6,2,4,5,4,8
"ENSMUSG00000085466",0,0,0,0,0,0
"ENSMUSG00000085467",5,3,6,6,2,6
"ENSMUSG00000085468",0,0,1,0,0,0
"ENSMUSG00000085469",0,0,0,0,0,0
"ENSMUSG00000085470",0,1,0,0,1,0
"ENSMUSG00000085471",122,128,123,128,113,103
"ENSMUSG00000085472",2,1,6,2,1,2
"ENSMUSG00000085473",0,0,0,0,0,0
"ENSMUSG00000085476",0,0,0,0,0,0
"ENSMUSG00000085477",1,0,0,0,1,1
"ENSMUSG00000085478",0,0,0,0,0,0
"ENSMUSG00000085479",0,0,1,0,0,0
"ENSMUSG00000085480",5,1,1,2,4,5
"ENSMUSG00000085481",0,0,0,0,0,0
"ENSMUSG00000085482",5,6,3,7,7,1
"ENSMUSG00000085483",0,1,4,4,4,1
"ENSMUSG00000085484",0,0,0,0,0,0
"ENSMUSG00000085485",0,0,0,0,0,0
"ENSMUSG00000085486",3,0,0,2,1,1
"ENSMUSG00000085487",4,2,2,3,2,5
"ENSMUSG00000085488",0,0,0,1,0,0
"ENSMUSG00000085489",0,0,0,0,0,0
"ENSMUSG00000085490",1,0,0,0,0,0
"ENSMUSG00000085491",0,1,1,0,3,1
"ENSMUSG00000085492",41,39,36,30,49,23
"ENSMUSG00000085493",0,0,0,0,0,0
"ENSMUSG00000085494",7,7,7,11,6,3
"ENSMUSG00000085495",3,2,2,0,1,3
"ENSMUSG00000085496",12,18,19,14,21,17
"ENSMUSG00000085497",0,0,0,0,0,0
"ENSMUSG00000085498",7,7,6,5,12,8
"ENSMUSG00000085499",5,11,4,13,5,9
"ENSMUSG00000085500",1,2,1,2,1,0
"ENSMUSG00000085501",7,7,6,7,14,11
"ENSMUSG00000085502",1,1,4,0,0,0
"ENSMUSG00000085504",0,0,0,0,0,0
"ENSMUSG00000085505",3,0,0,1,4,0
"ENSMUSG00000085506",36,36,34,22,40,27
"ENSMUSG00000085507",0,0,0,0,0,0
"ENSMUSG00000085508",0,0,0,0,0,0
"ENSMUSG00000085509",0,1,0,0,0,0
"ENSMUSG00000085510",1,1,1,7,2,0
"ENSMUSG00000085511",33,46,34,26,34,34
"ENSMUSG00000085512",1,0,0,0,0,0
"ENSMUSG00000085513",0,0,0,0,0,0
"ENSMUSG00000085514",3,2,5,7,9,3
"ENSMUSG00000085515",0,0,1,0,0,0
"ENSMUSG00000085516",18,23,24,16,28,20
"ENSMUSG00000085517",0,2,1,3,2,3
"ENSMUSG00000085518",0,0,0,0,0,0
"ENSMUSG00000085519",1,4,1,0,2,4
"ENSMUSG00000085520",8,6,3,10,5,6
"ENSMUSG00000085521",12,17,12,22,11,14
"ENSMUSG00000085522",0,2,0,1,0,1
"ENSMUSG00000085523",2,3,2,1,0,3
"ENSMUSG00000085524",39,40,46,31,32,30
"ENSMUSG00000085525",0,0,0,0,0,0
"ENSMUSG00000085526",22,37,36,33,21,25
"ENSMUSG00000085527",4,5,4,11,1,6
"ENSMUSG00000085528",0,0,0,0,0,0
"ENSMUSG00000085529",0,0,0,0,0,0
"ENSMUSG00000085530",0,0,1,2,0,0
"ENSMUSG00000085531",0,0,0,0,0,0
"ENSMUSG00000085532",0,0,0,0,0,0
"ENSMUSG00000085533",0,0,0,0,0,0
"ENSMUSG00000085534",0,0,0,0,0,0
"ENSMUSG00000085535",0,0,2,1,2,0
"ENSMUSG00000085536",1,0,0,0,0,0
"ENSMUSG00000085537",0,0,0,0,0,0
"ENSMUSG00000085538",2,13,3,6,9,10
"ENSMUSG00000085539",0,0,3,1,2,0
"ENSMUSG00000085540",1,7,13,5,8,8
"ENSMUSG00000085541",35,45,41,51,48,48
"ENSMUSG00000085542",0,0,0,0,0,0
"ENSMUSG00000085543",0,0,0,0,0,0
"ENSMUSG00000085544",214,281,179,273,190,205
"ENSMUSG00000085545",0,0,0,1,1,0
"ENSMUSG00000085546",4,3,5,4,5,6
"ENSMUSG00000085547",0,0,0,0,0,0
"ENSMUSG00000085548",4,3,2,1,1,2
"ENSMUSG00000085549",1,0,0,0,0,1
"ENSMUSG00000085550",0,0,0,0,0,0
"ENSMUSG00000085551",0,0,0,0,0,0
"ENSMUSG00000085552",0,0,0,0,0,0
"ENSMUSG00000085553",2,0,1,0,0,0
"ENSMUSG00000085554",113,104,107,143,135,130
"ENSMUSG00000085555",2,5,2,0,2,0
"ENSMUSG00000085556",0,0,0,0,0,0
"ENSMUSG00000085557",11,32,14,20,18,16
"ENSMUSG00000085558",6,8,7,13,9,9
"ENSMUSG00000085559",0,0,0,0,0,0
"ENSMUSG00000085560",7,0,2,3,4,3
"ENSMUSG00000085561",0,1,0,0,0,0
"ENSMUSG00000085562",2,5,13,7,10,5
"ENSMUSG00000085563",0,0,0,0,0,0
"ENSMUSG00000085564",7,10,8,10,3,6
"ENSMUSG00000085565",27,45,21,31,28,37
"ENSMUSG00000085566",149,122,109,116,125,136
"ENSMUSG00000085568",7,3,13,5,5,2
"ENSMUSG00000085569",0,0,0,0,0,0
"ENSMUSG00000085571",0,0,0,0,0,0
"ENSMUSG00000085572",11,14,16,2,11,14
"ENSMUSG00000085573",3,2,1,1,1,4
"ENSMUSG00000085574",0,0,0,0,0,0
"ENSMUSG00000085575",38,29,45,36,46,46
"ENSMUSG00000085576",6,1,3,2,1,5
"ENSMUSG00000085577",0,0,0,0,0,0
"ENSMUSG00000085578",4,0,0,0,1,1
"ENSMUSG00000085579",0,0,0,0,0,0
"ENSMUSG00000085580",0,0,0,0,0,0
"ENSMUSG00000085581",67,73,75,72,72,81
"ENSMUSG00000085582",0,0,0,0,0,1
"ENSMUSG00000085583",2,1,2,4,4,3
"ENSMUSG00000085584",23,32,37,43,24,26
"ENSMUSG00000085585",0,0,0,0,0,0
"ENSMUSG00000085586",2,7,0,3,1,5
"ENSMUSG00000085587",0,0,0,0,0,0
"ENSMUSG00000085588",0,0,0,0,0,0
"ENSMUSG00000085589",3,6,1,15,7,7
"ENSMUSG00000085590",0,0,0,0,0,0
"ENSMUSG00000085591",0,0,0,5,0,2
"ENSMUSG00000085592",1,0,1,0,0,0
"ENSMUSG00000085593",22,27,20,22,30,32
"ENSMUSG00000085594",0,0,0,0,0,1
"ENSMUSG00000085595",1,0,0,0,2,0
"ENSMUSG00000085596",0,0,1,0,2,2
"ENSMUSG00000085597",4,3,6,7,4,1
"ENSMUSG00000085598",0,0,0,0,0,0
"ENSMUSG00000085599",1,0,0,0,0,0
"ENSMUSG00000085600",2,0,0,0,0,0
"ENSMUSG00000085601",36,43,47,37,25,41
"ENSMUSG00000085602",0,3,2,2,2,1
"ENSMUSG00000085603",12,10,13,12,21,21
"ENSMUSG00000085604",0,0,0,1,0,0
"ENSMUSG00000085605",6,13,10,5,9,22
"ENSMUSG00000085606",0,0,2,0,1,0
"ENSMUSG00000085607",9,6,12,17,11,9
"ENSMUSG00000085608",0,0,0,0,0,0
"ENSMUSG00000085609",2,6,2,2,5,4
"ENSMUSG00000085610",0,0,0,0,0,0
"ENSMUSG00000085611",0,0,0,2,0,0
"ENSMUSG00000085612",21,14,7,12,16,5
"ENSMUSG00000085613",3,3,6,1,1,3
"ENSMUSG00000085614",9,3,2,6,9,4
"ENSMUSG00000085615",34,42,44,49,47,37
"ENSMUSG00000085616",0,0,0,0,0,0
"ENSMUSG00000085617",0,3,1,3,1,3
"ENSMUSG00000085618",0,0,0,0,0,0
"ENSMUSG00000085619",0,0,0,0,0,0
"ENSMUSG00000085620",3,1,5,2,0,3
"ENSMUSG00000085621",6,5,2,6,6,6
"ENSMUSG00000085622",81,70,99,82,85,81
"ENSMUSG00000085623",11,6,10,6,9,14
"ENSMUSG00000085624",0,0,0,0,0,1
"ENSMUSG00000085625",4,7,0,3,1,2
"ENSMUSG00000085626",0,0,0,0,0,0
"ENSMUSG00000085627",2,1,1,5,3,2
"ENSMUSG00000085628",4,4,4,4,6,7
"ENSMUSG00000085629",1,0,0,0,0,1
"ENSMUSG00000085630",0,0,0,0,0,0
"ENSMUSG00000085631",4,5,6,14,6,13
"ENSMUSG00000085632",0,0,0,0,0,0
"ENSMUSG00000085633",1,1,4,6,1,2
"ENSMUSG00000085634",0,0,0,0,0,0
"ENSMUSG00000085635",0,1,1,0,0,0
"ENSMUSG00000085636",26,21,13,19,33,15
"ENSMUSG00000085637",3,0,3,1,1,2
"ENSMUSG00000085638",16,21,22,16,22,16
"ENSMUSG00000085639",0,0,0,0,0,0
"ENSMUSG00000085640",0,1,0,0,0,0
"ENSMUSG00000085641",0,1,2,2,5,1
"ENSMUSG00000085642",19,23,16,26,25,20
"ENSMUSG00000085643",0,0,0,0,0,0
"ENSMUSG00000085644",70,71,73,56,51,72
"ENSMUSG00000085645",34,38,23,38,22,21
"ENSMUSG00000085646",1,0,1,0,0,0
"ENSMUSG00000085648",0,0,0,0,0,0
"ENSMUSG00000085649",0,0,1,1,0,0
"ENSMUSG00000085650",1,5,5,4,7,5
"ENSMUSG00000085651",0,0,0,0,1,0
"ENSMUSG00000085652",0,0,0,0,0,0
"ENSMUSG00000085653",0,0,0,0,1,0
"ENSMUSG00000085654",0,0,0,0,0,0
"ENSMUSG00000085655",2,3,2,1,4,4
"ENSMUSG00000085656",1,0,2,0,0,0
"ENSMUSG00000085657",0,0,0,0,0,0
"ENSMUSG00000085658",5,5,4,6,4,0
"ENSMUSG00000085659",0,0,0,0,0,0
"ENSMUSG00000085660",0,0,1,0,0,0
"ENSMUSG00000085661",2,0,0,0,0,0
"ENSMUSG00000085662",0,0,0,0,0,0
"ENSMUSG00000085663",12,14,13,15,16,5
"ENSMUSG00000085664",15,19,10,9,20,8
"ENSMUSG00000085665",13,15,10,18,4,8
"ENSMUSG00000085666",1,1,1,3,2,1
"ENSMUSG00000085667",30,16,22,20,37,16
"ENSMUSG00000085668",2,0,0,1,0,0
"ENSMUSG00000085669",34,19,31,29,35,33
"ENSMUSG00000085670",13,17,13,12,11,14
"ENSMUSG00000085671",1,3,0,0,1,2
"ENSMUSG00000085672",11,15,10,11,12,9
"ENSMUSG00000085673",3,1,4,3,7,1
"ENSMUSG00000085674",0,0,0,0,0,0
"ENSMUSG00000085675",1,0,2,2,0,0
"ENSMUSG00000085676",0,0,1,0,0,0
"ENSMUSG00000085677",1,2,0,0,0,0
"ENSMUSG00000085678",0,1,3,0,2,3
"ENSMUSG00000085679",0,0,0,0,0,0
"ENSMUSG00000085680",0,0,0,0,0,0
"ENSMUSG00000085681",0,0,0,0,0,0
"ENSMUSG00000085682",16,14,30,19,22,27
"ENSMUSG00000085683",1,0,0,0,0,0
"ENSMUSG00000085684",3,0,0,0,1,0
"ENSMUSG00000085685",0,0,0,0,0,0
"ENSMUSG00000085686",0,0,0,0,0,0
"ENSMUSG00000085687",94,84,105,109,110,110
"ENSMUSG00000085688",0,0,0,0,0,0
"ENSMUSG00000085689",0,0,0,0,0,0
"ENSMUSG00000085690",0,0,0,0,0,0
"ENSMUSG00000085691",0,0,0,0,0,0
"ENSMUSG00000085692",4,14,5,8,3,8
"ENSMUSG00000085693",0,0,0,0,0,0
"ENSMUSG00000085694",0,2,1,0,1,3
"ENSMUSG00000085695",1,0,1,0,1,1
"ENSMUSG00000085696",255,320,246,306,280,262
"ENSMUSG00000085698",0,0,0,1,0,1
"ENSMUSG00000085699",0,0,0,0,0,0
"ENSMUSG00000085700",0,0,0,1,0,0
"ENSMUSG00000085701",0,0,0,0,0,0
"ENSMUSG00000085702",19,5,14,11,20,8
"ENSMUSG00000085703",0,0,0,0,0,0
"ENSMUSG00000085704",50,60,50,47,33,58
"ENSMUSG00000085705",4,4,5,2,4,4
"ENSMUSG00000085706",0,0,0,0,0,0
"ENSMUSG00000085707",0,0,1,1,0,0
"ENSMUSG00000085708",0,0,0,1,0,0
